code,symbol,name
3841,ТЫС РУБ/ЧЕЛ,Тысяча рублей на человека
9822,МЛН ЕВРО,Миллион евро
277,МКГР,Микрогрей
278,МЛГР,Миллигрей
279,КИЛОГР,Килогрей
293,ГИГАГЦ,Гигагерц
295,ТЕРАГЦ,Терагерц
303,КИЛОБК,Килобеккерель
307,МЕГАБК,Мегабеккерель
340,Г У.Т./КВТ*Ч,Грамм условного топлива на киловатт-час
428,М3 * КМ,Кубический метр-километр
430,МЛН М3 * КМ,Миллион кубических метров-километров
452,МЛРД Т * КМ,Миллиард тонно-километров
508,ТЫС М3/Ч,Тысяча метров кубических в час
518,М2/чел,Квадратных метров на человека
5401,ДЕТ ДН,Дето-день
9061,МЛН ГА,Миллион гектаров
9062,МЛРД ГА,Миллиард гектаров
9557,МЛН ГОЛ,Миллион голов
9641,ЛЕТН Ч,Летный час
9986,МГК/СУТ,Микрограмм в сутки
9802,МЛН ДОЛЛАР,Миллион долларов
987,МЛН КРАСК ОТТИСК,Миллион краско-оттисков
9921,ЕД/Г,Единица биологической активности на грамм
9962,МЕГАБК/М2,Мегабеккерель на метр квадратный
9971,ТЫС. КИЕ/МЛ,Тысяча калликреиновых ингибирующих единиц на миллилитр
9990,ММОЛЬ/МЛ,Миллимоль на миллилитр
2316,МЛГР/Ч,Миллигрей в час
2352,МКЗВ/С,Микрозиверт в секунду
2351,ЗВ/Ч,Зиверт в час
2313,ГР/Ч,Грей в час
2354,МЛВЗ/Ч,Миллизиверт в час
3,ММ,Миллиметр
4,СМ,Сантиметр
6,М,Метр
8,КМ; ТЫС М,Километр; тысяча метров
9,МЕГАМ; МЛН М,Мегаметр; миллион метров
18,ПОГ М,Погонный метр
19,ТЫС ПОГ М,Тысяча погонных метров
20,УСЛ М,Условный метр
39,ДЮЙМ,"Дюйм (25,4 мм)"
41,ФУТ,"Фут (0,3048 м)"
43,ЯРД,"Ярд (0,9144 м)"
47,МИЛЬ,Морская миля (1852 м)
48,ТЫС УСЛ М,Тысяча условных метров
49,КМ УСЛ ТРУБ,Километр условных труб
50,ММ2,Квадратный миллиметр
51,СМ2,Квадратный сантиметр
53,ДМ2,Квадратный дециметр
54,ТЫС ДМ2,Тысяча квадратных дециметров
55,М2,Квадратный метр
56,МЛН ДМ2,Миллион квадратных дециметров
57,МЛН М2,Миллион квадратных метров
58,ТЫС М2,Тысяча квадратных метров
59,ГА,Гектар
60,ТЫС ГА,Тысяча гектаров
61,КМ2,Квадратный километр
62,УСЛ М2,Условный квадратный метр
63,ТЫС УСЛ М2,Тысяча условных квадратных метров
64,МЛН УСЛ М2,Миллион условных квадратных метров
71,ДЮЙМ2,"Квадратный дюйм (645,16 мм[2*])"
73,ФУТ2,"Квадратный фут (0,092903 м[2*])"
75,ЯРД2,"Квадратный ярд (0,8361274 м[2*])"
81,М2 ОБЩ ПЛ,Квадратный метр общей площади
82,ТЫС М2 ОБЩ ПЛ,Тысяча квадратных метров общей площади
83,МЛН М2. ОБЩ ПЛ,Миллион квадратных метров общей площади
84,М2 ЖИЛ ПЛ,Квадратный метр жилой площади
85,ТЫС М2 ЖИЛ ПЛ,Тысяча квадратных метров жилой площади
86,МЛН М2 ЖИЛ ПЛ,Миллион квадратных метров жилой площади
87,М2 УЧ.ЛАБ ЗДАН,Квадратный метр учебно-лабораторных зданий
88,ТЫС М2 УЧ. ЛАБ ЗДАН,Тысяча квадратных метров учебно-лабораторных зданий
89,МЛН М2 2ММ ИСЧ,Миллион квадратных метров в двухмиллиметровом исчислении
109,АР,Ар (100 м[2*])
110,ММ3,Кубический миллиметр
111,СМ3; МЛ,Кубический сантиметр; миллилитр
113,М3,Кубический метр
114,ТЫС М3,Тысяча кубических метров
115,МЛРД М3,Миллиард кубических метров
116,ДКЛ,Декалитр
118,ДЛ,Децилитр
119,ТЫС ДКЛ,Тысяча декалитров
120,МЛН ДКЛ,Миллион декалитров
121,ПЛОТН М3,Плотный кубический метр
122,ГЛ,Гектолитр
123,УСЛ М3,Условный кубический метр
124,ТЫС УСЛ М3,Тысяча условных кубических метров
125,МЛН М3 ПЕРЕРАБ ГАЗА,Миллион кубических метров переработки газа
126,МЕГАЛ,Мегалитр
127,ТЫС ПЛОТН М3,Тысяча плотных кубических метров
128,ТЫС ПОЛ Л,Тысяча полулитров
129,МЛН ПОЛ Л,Миллион полулитров
130,ТЫС Л,Тысяча литров; 1000 литров
131,ДЮЙМ3,"Кубический дюйм (16387,1 мм[3*])"
132,ФУТ3,"Кубический фут (0,02831685 м[3*])"
133,ЯРД3,"Кубический ярд (0,764555 м[3*])"
159,МЛН М3,Миллион кубических метров
160,ГГ,Гектограмм
161,МГ,Миллиграмм
162,КАР,Метрический карат
163,Г,Грамм
165,ТЫС КАР,Тысяча каратов метрических
166,КГ,Килограмм
167,МЛН КАР,Миллион каратов метрических
168,Т,Тонна; метрическая тонна (1000 кг)
169,ТЫС Т,Тысяча тонн
170,КТ,Килотонна
171,МЛН Т,Миллион тонн
172,Т УСЛ ТОПЛ,Тонна условного топлива
173,СГ,Сантиграмм
175,ТЫС Т УСЛ ТОПЛ,Тысяча тонн условного топлива
176,МЛН Т УСЛ ТОПЛ,Миллион тонн условного топлива
177,ТЫС Т ЕДИНОВР ХРАН,Тысяча тонн единовременного хранения
178,ТЫС Т ПЕРЕРАБ,Тысяча тонн переработки
179,УСЛ Т,Условная тонна
181,БРУТТ. РЕГИСТР Т,"Брутто-регистровая тонна (2,8316 м^3)"
185,Т ГРУЗОПОД,Грузоподъемность в метрических тоннах
206,Ц,Центнер (метрический) (100 кг); гектокилограмм; квинтал (метрический); децитонна
207,ТЫС Ц,Тысяча центнеров
212,ВТ,Ватт
214,КВТ,Киловатт
215,МЕГАВТ; ТЫС КВТ,Мегаватт; тысяча киловатт
222,В,Вольт
223,КВ,Киловольт
227,КВ.А,Киловольт-ампер
228,МЕГАВ.А,Мегавольт-ампер (тысяча киловольт-ампер)
230,КВАР,Киловар
231,М/Ч,Метр в час
348,ФС,Фемтосекунда
319,МКЗВ,Микрозиверт
2311,ГР/С,Грей в секунду
2315,МКГР/Ч,Микрогрей в час
2353,МКЗВ/Ч,Микрозиверт в час
6423,ПОС.ЕД,Посевная единица
232,ККАЛ,Килокалория
234,ТЫС ГИГАКАЛ,Тысяча гигакалорий
235,МЛН ГИГАКАЛ,Миллион гигакалорий
236,КАЛ/Ч,Калория в час
237,ККАЛ/Ч,Килокалория в час
238,ГИГАКАЛ/Ч,Гигакалория в час
239,ТЫС ГИГАКАЛ/Ч,Тысяча гигакалорий в час
241,МЛН А.Ч,Миллион ампер-часов
242,МЛН КВ.А,Миллион киловольт-ампер
243,ВТ.Ч,Ватт-час
245,КВТ.Ч,Киловатт-час
246,МЕГАВТ.Ч; ТЫС КВТ.Ч,Мегаватт-час; 1000 киловатт-часов
247,ГИГАВТ.Ч,Гигаватт-час (миллион киловатт-часов)
248,КВ.А Р,Киловольт-ампер реактивный
249,МЛРД КВТ.Ч,Миллиард киловатт-часов
250,ТЫС КВ.А Р,Тысяча киловольт-ампер реактивных
251,ЛС,Лошадиная сила
252,ТЫС ЛС,Тысяча лошадиных сил
253,МЛН ЛС,Миллион лошадиных сил
254,БИТ,Бит
255,БАЙТ,Байт
2553,ГБАЙТ,Гигабайт
2556,ЭБАЙТ,Эксабайт
2558,ЙБАЙТ,Йоттабайт
